   id   | start_year | start_day | start_time | end_year | end_day | end_time | density 
 136025 |       2011 |       201 |       1115 |     2011 |     201 |     1445 |       2
 136933 |       2011 |       213 |       1515 |     2011 |     213 |     1715 |       2
 136915 |       2011 |       213 |       1115 |     2011 |     213 |     1315 |       3
 136925 |       2011 |       213 |       1315 |     2011 |     213 |     1515 |       2
 136913 |       2011 |       213 |       1115 |     2011 |     213 |     1315 |       2
 136911 |       2011 |       213 |       1115 |     2011 |     213 |     1315 |       2
 137142 |       2011 |       215 |       2145 |     2011 |     215 |     2315 |       2
 137141 |       2011 |       215 |       2145 |     2011 |     215 |     2315 |       3
 137108 |       2011 |       215 |       1415 |     2011 |     215 |     1545 |       3
 137103 |       2011 |       215 |       1415 |     2011 |     215 |     1545 |       2
 137180 |       2011 |       216 |       1200 |     2011 |     216 |     1530 |       2
 137588 |       2011 |       219 |       2145 |     2011 |     219 |     2345 |       3
 137591 |       2011 |       219 |       2145 |     2011 |     219 |     2345 |       2
 139350 |       2011 |       237 |       2115 |     2011 |     237 |     2315 |       2
 139424 |       2011 |       238 |       1545 |     2011 |     238 |     1715 |       2
 139405 |       2011 |       238 |       1200 |     2011 |     238 |     1330 |       2
 141166 |       2011 |       250 |       1300 |     2011 |     250 |     1400 |       2
 141431 |       2011 |       251 |       2015 |     2011 |     251 |     2215 |       2
 141360 |       2011 |       251 |       1230 |     2011 |     251 |     1430 |       2
 141498 |       2011 |       251 |       2215 |     2011 |     252 |       15 |       2
 141499 |       2011 |       251 |       2215 |     2011 |     252 |       15 |       3
 141707 |       2011 |       252 |       2115 |     2011 |     252 |     2315 |       2
 141718 |       2011 |       252 |       2145 |     2011 |     252 |     2245 |       2
 141936 |       2011 |       253 |       2145 |     2011 |     253 |     2345 |       3
 142092 |       2011 |       254 |       2145 |     2011 |     254 |     2345 |       2
 142078 |       2011 |       254 |       2145 |     2011 |     254 |     2345 |       2
 142090 |       2011 |       254 |       2145 |     2011 |     254 |     2345 |       3
 141990 |       2011 |       254 |       1200 |     2011 |     254 |     1330 |       2
 142062 |       2011 |       254 |       1945 |     2011 |     254 |     2115 |       3
 142063 |       2011 |       254 |       1945 |     2011 |     254 |     2115 |       2
 142093 |       2011 |       254 |       2145 |     2011 |     254 |     2345 |       3
 142135 |       2011 |       255 |       1230 |     2011 |     255 |     1400 |       2
 142228 |       2011 |       255 |       2045 |     2011 |     256 |       45 |       2
 142315 |       2011 |       256 |       1745 |     2011 |     256 |     1945 |       3
 142294 |       2011 |       256 |       1315 |     2011 |     256 |     1415 |       2
 142309 |       2011 |       256 |       1745 |     2011 |     256 |     1945 |       2
 142342 |       2011 |       256 |       1945 |     2011 |     256 |     2145 |       2
 142533 |       2011 |       258 |       1945 |     2011 |     259 |      115 |       2
 142591 |       2011 |       259 |       1100 |     2011 |     259 |     1400 |       2
 142590 |       2011 |       259 |       1100 |     2011 |     259 |     1400 |       2
(82 rows)

