   id   | start_year | start_day | start_time | end_year | end_day | end_time | density 
--------+------------+-----------+------------+----------+---------+----------+---------
 129416 |       2011 |       144 |       2115 |     2011 |     145 |       15 |       2
 129415 |       2011 |       144 |       2115 |     2011 |     145 |       15 |       2
 129618 |       2011 |       145 |       2015 |     2011 |     146 |      145 |       2
 129666 |       2011 |       146 |       1130 |     2011 |     146 |     1330 |       2
 130942 |       2011 |       157 |       1300 |     2011 |     157 |     1500 |       2
 131121 |       2011 |       158 |       2145 |     2011 |     159 |       45 |       2
 131067 |       2011 |       158 |       1130 |     2011 |     158 |     1300 |       2
 131305 |       2011 |       159 |       2215 |     2011 |     160 |       15 |       2
 131837 |       2011 |       163 |       1300 |     2011 |     163 |     1430 |       2
 131979 |       2011 |       164 |       1300 |     2011 |     164 |     1500 |       2
 132091 |       2011 |       165 |       1300 |     2011 |     165 |     1500 |       2
 132129 |       2011 |       165 |       2115 |     2011 |     165 |     2315 |       2
 133412 |       2011 |       175 |       2245 |     2011 |     176 |       45 |       2
 133296 |       2011 |       175 |       1045 |     2011 |     175 |     1415 |       2
 133377 |       2011 |       175 |       2115 |     2011 |     175 |     2315 |       2
 133387 |       2011 |       175 |       2215 |     2011 |     176 |       15 |       2
 133304 |       2011 |       175 |       1400 |     2011 |     175 |     1500 |       2
 133309 |       2011 |       175 |       1400 |     2011 |     175 |     1530 |       3
 133428 |       2011 |       176 |       1100 |     2011 |     176 |     1400 |       2
 133431 |       2011 |       176 |       1100 |     2011 |     176 |     1400 |       2
 133467 |       2011 |       176 |       1100 |     2011 |     176 |     1400 |       2
 133427 |       2011 |       176 |       1100 |     2011 |     176 |     1400 |       3
 133430 |       2011 |       176 |       1100 |     2011 |     176 |     1400 |       2
 133506 |       2011 |       176 |       2015 |     2011 |     177 |      145 |       2
 133508 |       2011 |       176 |       2015 |     2011 |     177 |      145 |       3
 133648 |       2011 |       177 |       1130 |     2011 |     177 |     1530 |       2
 133649 |       2011 |       177 |       1130 |     2011 |     177 |     1530 |       2
 134493 |       2011 |       182 |       2245 |     2011 |     183 |       45 |       2
 134486 |       2011 |       182 |       2245 |     2011 |     183 |       45 |       2
 134492 |       2011 |       182 |       2245 |     2011 |     183 |       45 |       2
 134491 |       2011 |       182 |       2245 |     2011 |     183 |       45 |       3
 134863 |       2011 |       186 |       1415 |     2011 |     186 |     1545 |       2
 135661 |       2011 |       196 |       1300 |     2011 |     196 |     1500 |       2
 135935 |       2011 |       199 |       2115 |     2011 |     199 |     2315 |       3
 135896 |       2011 |       199 |       1145 |     2011 |     199 |     1515 |       2
 135934 |       2011 |       199 |       2115 |     2011 |     199 |     2315 |       2
 135895 |       2011 |       199 |       1145 |     2011 |     199 |     1515 |       3
 135964 |       2011 |       200 |       1145 |     2011 |     200 |     1515 |       3
 135986 |       2011 |       200 |       2115 |     2011 |     200 |     2315 |       2
 135988 |       2011 |       200 |       2115 |     2011 |     200 |     2315 |       3
 135989 |       2011 |       200 |       2115 |     2011 |     200 |     2315 |       2
 135965 |       2011 |       200 |       1145 |     2011 |     200 |     1515 |       2
